SK_ID_CURR,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_CONTRACT_TYPE,OCCUPATION_TYPE,AMT_INCOME_TOTAL,FLAG_OWN_REALTY,CODE_GENDER,NAME_FAMILY_STATUS,BURO_AMT_CREDIT_SUM_DEBT_SUM
100001,568800.0,20560.5,450000.0,Cash loans,,135000.0,Y,F,Married,596686.5
100005,222768.0,17370.0,180000.0,Cash loans,Low-skill Laborers,99000.0,Y,M,Married,568408.5
100013,663264.0,69777.0,630000.0,Cash loans,Drivers,202500.0,Y,M,Married,0.0
100028,1575000.0,49018.5,1575000.0,Cash loans,Sales staff,315000.0,Y,F,Married,186304.5
100038,625500.0,32067.0,625500.0,Cash loans,,180000.0,N,M,Married,
100042,959688.0,34600.5,810000.0,Cash loans,Drivers,270000.0,Y,F,Married,3074162.895
100057,499221.0,22117.5,373500.0,Cash loans,High skill tech staff,180000.0,Y,M,Married,0.0
100065,180000.0,14220.0,180000.0,Cash loans,Core staff,166500.0,Y,M,Single / not married,540273.51
100066,364896.0,28957.5,315000.0,Cash loans,Core staff,315000.0,Y,F,Married,181687.5
100067,45000.0,5337.0,45000.0,Cash loans,Sales staff,162000.0,Y,F,Civil marriage,1176970.5
100074,675000.0,25447.5,675000.0,Cash loans,,67500.0,Y,F,Married,0.0
100090,261621.0,16848.0,216000.0,Cash loans,Laborers,135000.0,Y,F,Widow,62170.83
100091,296280.0,23539.5,225000.0,Cash loans,,247500.0,Y,F,Civil marriage,1367662.5
100092,360000.0,18535.5,360000.0,Cash loans,Core staff,90000.0,Y,F,Married,937309.5
100106,157500.0,7875.0,157500.0,Revolving loans,Laborers,180000.0,Y,M,Civil marriage,0.0
100107,296280.0,21690.0,225000.0,Cash loans,Laborers,180000.0,Y,M,Civil marriage,124195.68
100109,407520.0,26041.5,360000.0,Cash loans,Laborers,202500.0,Y,F,Single / not married,319125.555
100117,499221.0,22117.5,373500.0,Cash loans,,90000.0,Y,M,Married,576030.33
100128,431280.0,23526.0,360000.0,Cash loans,Managers,225000.0,Y,F,Civil marriage,347607.0
100141,478498.5,46741.5,454500.0,Cash loans,Laborers,175500.0,Y,F,Married,
100150,225000.0,19242.0,225000.0,Cash loans,Sales staff,99000.0,Y,F,Civil marriage,0.0
100168,266652.0,16443.0,202500.0,Cash loans,,157500.0,Y,F,Widow,0.0
